tokens,labels,source
"['उन्होंने', 'कहा', 'कि', 'कम', 'से', 'कम', '500', 'आतंकवादी', 'जम्मू', '-', 'कश्मीर', 'में', 'घुसपैठ', 'की', 'कोशिश', 'में', 'है', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['रक्षा', 'राज्य', 'मंत्री', 'श्री', 'श्रीपद', 'नाइक', 'ने', 'कहा', 'कि', 'रक्षा', 'नवोन्मेष', 'सम्मेलन', 'बेहतर', 'समन्वय', 'के', 'लिए', 'सभी', 'साझेदारों', 'को', 'एक', 'मंच', 'पर', 'लाया']","['B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['उनका', 'उत्पादन', 'सख्ती', 'से', 'भारतीय', 'मानक', 'ब्यूरो', 'के', 'विशिष्टि', 'के', 'अनुसार', 'किया', 'जाता', 'है', 'और', 'उनकी', 'गुणवत्ता', 'विश्व', 'में', 'सबसे', 'अच्छी', 'गुणवत्ता', 'से', 'तुलनीय', 'होती', 'है', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मुझे', 'बेहद', 'उम्मीद', 'है', 'कि', 'भारत', 'में', 'निर्माण', 'के', 'निवेशक', 'सहायक', 'पहल', 'से', 'हमारा', 'देश', 'न', 'केवल', 'कम', 'लागत', 'बल्कि', 'उच्च', 'गुणवत्तापूर्ण', 'उत्पादों', 'का', 'विनिर्माण', 'केंद्र', 'बनेगा', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मुख्यमंत्री', 'श्री', 'कमल', 'नाथ', 'ने', 'किसानों', 'से', 'अपील', 'की', 'है', 'कि', 'वे', 'एक', 'साथ', 'सारा', 'प्याज', 'बाजार', 'में', 'विक्रय', 'के', 'लिये', 'न', 'लायें', 'जिससे', 'उसके', 'मूल्य', 'पर', 'अनावश्यक', 'दबाव', 'न', 'पड़े', '।']","['O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['\\\\xa0साहो', 'में', 'प्रभास', 'और', 'श्रद्धा', 'कपूर', 'के', 'अलावा', 'नील', 'नितिन', 'मुकेश', ',', 'जैकी', 'श्रॉफ', ',', 'चंकी', 'पांडेय', ',', 'महेश', 'मांजरेकर', 'और', 'मंदिरा', 'बेदी', 'ने', 'अहम', 'भूमिकाएं', 'निभायी', 'हैं', '।']","['O', 'O', 'B-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['क्या', 'है', 'डीबीटी']","['O', 'O', 'O']",naamapadam_hi
"['गमभन', ':', 'ओंकार', 'जोशी', 'का', 'भारतीय', 'भाषा', 'शब्द', '-', 'संसाधक', '(', 'WYSWYG', ')']","['O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['कोई', 'शरण', 'दुखती', 'है', '.']","['O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['दोनों', 'देशों', 'के', 'बीच', '25.10.18', 'को', 'निम्नलिख', 'समझौते', '/', 'मानक', 'परिचालन', 'प्रक्रिया', 'एसओपी', ')', 'पर', 'हस्ताक्षर', 'हुए', '-']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मेरा', 'नाम', 'राहुल', 'है', 'और', 'मेरा', 'मोबाइल', 'नंबर', '9988776655', 'है']","['O', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'B-PHONE_NUM', 'O']",synthetic_hi
"['कांग्रेस', 'महासचिव', 'प्रियंका', 'गांधी', '(', 'फाइल', 'फोटोः', 'PTI', ')']","['O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['अपने', 'भाई', 'डिक', '(', 'बिलकुल', 'बाएँ', '.', 'डिक', 'खड़ा', 'है', ')', 'और', 'दूसरे', 'पायनियरों', 'के', 'साथ', 'ब्रिस्टल', 'पायनियर', 'होम', 'के', 'सामने']","['O', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O']",naamapadam_hi
"['इस', 'ब्रोकरेज', 'फर्म', 'के', 'पास', 'निवेशकों', ',', 'ट्रेडर्स', 'के', 'सवालों', 'को', 'हल', 'करने', 'के', 'लिए', 'एक', 'पोर्टल', ',', 'इंटरैक्टिव', 'ब्लॉग', ',', 'जेड', '-', 'कनेक्ट', 'है']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['वस्त्र', 'क्षेत्र', 'में', 'शुरू', 'की', 'गई', 'एकीकृत', 'कौशल', 'विकास', 'योजना', '(', 'आईएसडीएस', ')', 'और', 'क्लस्टर', 'विकास', 'कार्यक्रम', '(', 'सीडीपी', ')', 'समिति', 'की', 'अन्य', 'महत्वपूर्ण', 'सेवाऍं', 'हैं', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['यह', 'हम', 'पर', 'है', 'कि', 'उत्तर', 'प्रदेश', 'में', 'कांग्रेस', 'पार्टी', 'को', 'कैसे', 'मजबूत', 'किया', 'जाए', 'और', 'हम', 'अपनी', 'पूरी', 'क्षमता', 'के', 'साथ', 'लड़ेंगे', '।']","['O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['प्र', '23', '46', '(', '1', ')', 'के', 'खंड', '21', ',', 'या', 'इस', 'अधिनियम', 'के', 'किसी', 'प्रावधान', 'के', 'तहत', 'एक', 'आयुक्त', '(', 'अपील', ')', 'द्वारा', 'पारित', 'एक', 'आदेश', 'के', 'तहत', 'एक', 'आयुक्त', 'द्वारा', 'पारित', 'एक', 'आदेश', 'से', 'व्यथित', 'कोई', 'निर्धारिती', ',', 'इस', 'तरह', 'के', 'आदेश', 'के', 'खिलाफ', 'अपील', 'न्यायाधिकरण', 'में', 'अपील', 'कर', 'सकेगा', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['सीबीआइ', 'की', 'प्राथमिकी', 'में', 'नामजद', 'त्यागी', 'सुबह', 'करीब', 'दस', 'बजे', 'सीबीआइ', 'मुख्यालय', 'पहुंचे', 'थे', 'लेकिन', 'उन्होंने', 'मीडिया', 'से', 'बात', 'करने', 'से', 'इनकार', 'कर', 'दिया', 'जिसने', 'सौदे', 'में', 'कथित', 'भ्रष्टाचार', 'में', 'उनकी', 'भूमिका', 'के', 'बारे', 'में', 'सवाल', 'पूछे', '।']","['O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['""', 'इस', 'दल', 'का', 'नाम', 'था', '""', '""', 'फासी', '-', 'दि', '-', 'कंबात्तिमेंती', '""', '""', '।', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['अब', 'सार्वजनिक', 'क्षेत्र', 'के', 'बैंकों', 'तथा', 'कोषागारों', 'दोनों', 'से', 'संबंधित', 'समस्त', 'डाटा', 'वेबसाइट', 'पर', 'उपलब्ध', 'है', 'तथा', 'परियोजना', 'पूरी', 'कर', 'ली', 'गई', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['इससे', 'पहले', 'भारत', 'ने', 'पहली', 'पारी', 'में', '191', 'रन', 'बनाए', 'थे', '।']","['O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['सिंह', 'राज्य', 'में', 'निवेश', 'आकर्षित', 'करने', 'के', 'अलावा', 'कृषि', ',', 'बागवानी', ',', 'डेयरी', 'कृषि', 'और', 'जल', 'शोधन', 'प्रबंधन', 'के', 'क्षेत्र', 'में', 'यहूदी', 'देश', 'के', 'साथ', 'सहयोग', 'मजबूत', 'करने', 'के', 'लिए', 'प्रतिनिधिमंडल', 'का', 'नेतृत्व', 'कर', 'रहे', 'हैं', '।']","['B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मंत्रालय', 'के', 'आंकड़ों', 'के', 'अनुसार', ',', 'देश', 'में', 'अभी', 'तक', 'कुल', '158,725', 'लोगों', 'की', 'वायरस', 'से', 'मौत', 'हुई', 'है', ',', 'जिनमें', 'से', 'महाराष्ट्र', 'के', '52,861', ',', 'तमिलनाडु', 'के', '12,547', ',', 'कर्नाटक', 'के', '12,390', ',', 'दिल्ली', 'के', '10,941', ',', 'पश्चिम', 'बंगाल', 'के', '10,292', ',', 'उत्तर', 'प्रदेश', 'के', '8,746', 'और', 'आंध्र', 'प्रदेश', 'के', '7,184', 'लोग', 'थे']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'O']",naamapadam_hi
"['चंद्रशेखरन', 'क्षेत्रीय', 'इंजीनियरिंग', 'कॉलेज', ',', 'त्रिची', ',', 'तमिलनाडु', 'से', 'कंप्यूटर', 'एप्लिकेशंस', 'में', 'मास्टर्स', 'करने', 'के', 'बाद', 'टीसीएस', 'से', 'जुड़े', 'थे', '।']","['B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['उन्होंने', 'कहा', 'कि', 'अगर', 'आंदोलनकारी', 'राजनीतिक', 'पार्टी', 'बनाते', 'हैं', ',', 'तो', 'भाजपा', 'इस', 'चुनौती', 'को', 'राजनीतिक', 'तरीके', 'से', 'स्वीकार', 'करेगी', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['वह', 'मैनहैटन', 'बिलबोर्ड', 'पर', 'एक', 'भारतीय', 'चेहरा', 'हैं', '।']","['O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['नलिन', 'ने', '720', 'में', 'से', '701', 'अंक', 'हासिल', 'किए', 'हैं', '।']","['B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['कश्मीर', ':', 'कुलगाम', 'में', 'मुठभेड़', ',', '2', 'आतंकवादी', 'मारे', 'गए']","['O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['जम्मू', '-', 'कश्मीर', 'पुलिस', 'ने', 'सेना', 'के', 'अधिकारियों', 'के', 'खिलाफ', 'केस', 'दर्ज', 'किया', 'था', '।']","['B-ADDRESS', 'I-ADDRESS', 'I-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['ये', 'गांव', 'पश्चिम', 'चंपारण', 'जिले', 'के', 'वाल्मीकिनगर', 'विधानसभा', 'क्षेत्र', 'में', 'आते', 'हैं']","['O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['KXIP', 'को', 'कोलकाता', 'नाइट', 'राइडर्स', '(', 'KKR', ')', 'के', 'खिलाफ', 'अपने', 'आखिरी', 'गेम', 'में', '100', 'वीं', 'हार', 'का', 'सामना', 'करना', 'पड़ा', '-', 'जहां', 'वे', '165', 'रनों', 'के', 'पीछा', 'में', 'सिर्फ', 'दो', 'रनों', 'से', 'हार', 'गए', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मुझे', 'विश्वास', 'है', 'कि', 'वह', 'राज्य', 'की', 'स्थिति', 'से', 'अवगत', 'हैं', 'क्योंकि', 'उन्होंने', 'पहले', 'ही', 'सूचना', 'एकत्र', 'कर', 'ली', 'है', '।']","['B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['बीजेपी', 'कार्यालय', 'में', 'जशन', 'का', 'माहौल']","['O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['विभाग', 'के', 'मुताबिक', ',', 'नेपाल', 'से', 'सटे', 'बिहार', 'के', 'सात', 'जिलों', 'के', '49', 'स्थानों', 'पर', 'नेपाल', 'से', 'आने', 'वाले', 'लोगों', 'की', 'निगरानी', 'रखी', 'जा', 'रही', 'है', '।']","['O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['उन्होंने', 'कहा', ',', '""', 'सऊदी', 'अरब', 'के', 'साथ', 'भारत', 'के', 'संबंध', 'हमारे', 'विस्तारित', 'पड़ोस', 'के', 'सबसे', 'महत्वपूर्ण', 'द्विपक्षीय', 'रिश्तों', 'में', 'से', 'एक', 'हैं', '।']","['O', 'O', 'O', 'O', 'B-ADDRESS', 'I-ADDRESS', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['सपा', 'नेताओं', 'ने', 'कहा', 'कि', 'प्रदेश', 'में', 'कानून', '-', 'व्यवस्था', 'पूरी', 'तरह', 'ध्वस्त', 'हो', 'चुकी', 'है', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['उन्होंने', 'कहा', ',', ""'"", 'हम', 'दिल्ली', 'में', 'सरकार', 'बनाने', 'के', 'लिए', 'कुछ', 'और', 'दिन', 'देंगे', '(', 'आप', 'को', ')', '।']","['O', 'O', 'O', 'O', 'O', 'B-ADDRESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['कोहली', 'और', 'बुमराह', 'हालांकि', 'दो', 'टेस्ट', 'मैचों', 'की', 'सीरीज', 'के', 'लिये', 'वापसी', 'करेंगे', 'जो', 'शुरूआती', 'विश्व', 'टेस्ट', 'चैम्पियनशिप', 'का', 'हिस्सा', 'है', '।']","['B-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
"['मृतक', 'सैन्यकर्मियों', 'की', 'पहचान', 'सूबेदार', 'मदन', 'लाल', 'चौधरी', ',', 'सूबेदार', 'मोहम्मद', 'अशरफ', 'मीर', ',', 'हवलदार', 'हबीबुल्ला', 'कुरैशी', ',', 'नायक', 'मंजूर', 'अहमद', 'और', 'लांस', 'नायक', 'मोहम्मद', 'इकबाल', 'के', 'रूप', 'में', 'हुई', 'है', '।']","['O', 'O', 'O', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'B-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'I-NAME_STUDENT', 'O', 'O', 'O', 'O', 'O', 'O']",naamapadam_hi
